ordem,categoria,tipo,texto
1,Falta de transparência,contexto,"A falta de transparência faz com que o produto pareça “inacabado” na percepção do lojista, não atendendo o mínimo quando se trata de gestão financeira."
2,Falta de transparência,contexto,"Outro efeito colateral negativo é que a falta de transparência aumenta muito a carga de trabalho manual, por ter que buscar alternativas para chegar na informação que precisa. Por fim, causa insegurança sobre os valores repassados pelo Nuvem Pago, impactando diretamente a percepção de valor que eles têm sobre o nosso produto."
3,Falta de transparência,evidência,"Extrato que não oferece informação suficiente para identificar a movimentação (ex.: ID da venda, ID do link, beneficiário da transferência)."
4,Falta de transparência,evidência,"Falta de acesso à visão de saldo inicial e final da conta para fazer fechamento de caixa."
5,Falta de transparência,evidência,"Falta de dados sobre contestação das vendas, para fazer fechamento de caixa, conciliação e a DRE"
6,Falta de transparência,evidência,"Não enviamos a projeção de recebíveis completa necessária para entender o regime de caixa para a DFC."
7,Falta de transparência,evidência,"Falta de dashboards nativos para ver as informações em tempo real."
8,Falta de autonomia,contexto,"Os lojistas e responsáveis pelo financeiro não conseguem visualizar, extrair ou consolidar seus dados diários de recebimentos, taxas e fluxo de caixa de forma independente ou dentro do próprio painel da plataforma. Como os relatórios nativos são incompletos ou inexistentes, os usuários tornam-se reféns de planilhas e dependem do suporte ou dos gerentes de conta, mas esses envios costumam ocorrer somente semanalmente ou mensalmente, enquanto a base da análise financeira (fechamento de caixa, conciliação financeira e bancária) é feita diariamente. Isso transforma a rotina de gestão em um processo moroso e dificulta a tomada rápida de decisão."
9,Falta de autonomia,evidência,"Dependência do suporte para ter acesso aos relatórios cruciais para fazer as tarefas de gestão financeira."
10,Perda de tempo por falha de integração da nossa API com a ERP do lojista,contexto,"Falta de envio automático dos dados estruturados de recebíveis e das taxas cobradas pelo Nuvem Pago. Sem isso, os lojistas são obrigados a registrar as tarifas manualmente como “contas a pagar” e liquidar manualmente, gerando trabalho desnecessário e risco de lançamentos duplicados."
11,Perda de tempo por falha de integração da nossa API com a ERP do lojista,evidência,"API não envia a taxa, gerando retrabalho para o lojista."
12,Perda de tempo por falha de integração da nossa API com a ERP do lojista,evidência,"Perda de tempo dando baixa manual dentro do ERP por falta de uma integração via API adequada."
